Ewe/V,<I>/mA
-0.16389139,0.0003129034030954047
-0.16340242,0.0003154121014732631
-0.16290157,0.0003176460363815874
-0.16240686,0.0003195092138547057
-0.16189964,0.000321306400379666
-0.16139962,0.0003224937468918059
-0.16090176,0.000323175744361597
-0.16040345,0.0003240316381952343
-0.15991087,0.0003252376947650119
-0.15941466,0.0003268185513728922
-0.15890469,0.0003288959181157163
-0.15842807,0.0003306657894698138
-0.15792185,0.000332365799800346
-0.15742356,0.0003339195187369078
-0.15692016,0.0003351030100694251
-0.15641358,0.0003369317850296353
-0.15591379,0.0003386241214347785
-0.15541123,0.0003401938887758664
-0.15490188,0.0003416902067059483
-0.15441144,0.0003430503766139797
-0.15390824,0.0003441565929649688
-0.15340443,0.0003450373150607664
-0.15289997,0.0003462598394469033
-0.15239847,0.0003473298915600501
-0.15187027,0.0003490817099965982
-0.15138638,0.0003510750177695208
-0.15088785,0.0003518900075168713
-0.15039526,0.0003523157332960408
-0.14992264,0.000354916735752212
-0.14942643,0.0003580830044585034
-0.14890458,0.0003604818091642193
-0.14841412,0.0003614514210615568
-0.1479118,0.0003630880547899878
-0.14741878,0.0003648744411664049
-0.14691368,0.0003664631551524677
-0.14639246,0.0003678095589310527
-0.14589266,0.0003688374037530348
-0.14539647,0.0003697821890724616
-0.14489457,0.0003715980700252329
-0.14440814,0.0003725260015656831
-0.14389221,0.0003729964601006945
-0.1433918,0.0003742945471592995
-0.1428901,0.0003768145814117569
-0.14238754,0.0003796629671342163
-0.14189793,0.0003838727228597672
-0.14140812,0.0003878414642073395
-0.1408992,0.000388107664817919
-0.14039262,0.0003867109341997542
-0.13988729,0.0003876983719237545
-0.13936885,0.0003895410647803323
-0.13888496,0.000391413972869889
-0.13840744,0.0003930397653204047
-0.13790785,0.0003940754580037831
-0.13741146,0.0003936461373625876
-0.13690275,0.0003937941383574967
-0.13639279,0.0003958806189782796
-0.13589899,0.000399116468759602
-0.13539574,0.0004021613993380087
-0.13489148,0.0004051840509486352
-0.13439126,0.0004086399377329977
-0.13389231,0.0004109416758082077
-0.13339953,0.0004120603397394949
-0.13292329,0.0004124574047805543
-0.13238318,0.0004144010569386103
-0.13188446,0.0004165891585014821
-0.13139865,0.0004174997854230738
-0.13089398,0.0004190384364914431
-0.13037319,0.0004203078685720797
-0.12985852,0.0004200524142813997
-0.12937529,0.0004204329016593809
-0.12888864,0.0004236349616769872
-0.12839861,0.0004274561726089442
-0.12790687,0.0004286965747639874
-0.12739946,0.0004298929338633324
-0.12689605,0.0004321748136943641
-0.12639944,0.0004334815205732376
-0.12590007,0.0004341219228754765
-0.12541617,0.0004358262123316005
-0.12490543,0.0004381488501879693
-0.12443589,0.0004396528988258631
-0.12392464,0.0004409401025003354
-0.12343058,0.000441992551511965
-0.12293164,0.0004430633440885333
-0.12243291,0.0004461502243497388
